id,fen,solution_ucis,category,sub_level,difficulty,title,theme,prompt,rating,rating_label,tags,explanation,active,source,lichess_id,nb_plays,popularity,opening_tags
lc_pTK5y,5r2/p4rk1/1p1p1qpp/3Qb3/2P1N3/6P1/PP2RPKP/R7 b - - 6 21,"{""f6f3"",""g2g1"",""f3e2""}",bishop,1,beginner,Bishop 1 · Fork,fork,Black to move.,1144,Casual,"{""crushing"",""fork"",""middlegame"",""short""}","A fork — one piece attacks two enemy pieces at once, forcing a material win.",true,lichess,pTK5y,26189,95,{}
lc_nNJcV,6rk/pp2r1pp/2b1p3/3pP1Q1/3N1Pp1/2P4R/Pq2N1PP/6K1 w - - 0 27,"{""h3h7"",""h8h7"",""g5h5""}",bishop,1,beginner,Bishop 1 · Mate In2,mateIn2,White to move.,1145,Casual,"{""attraction"",""kingsideAttack"",""master"",""mate"",""mateIn2"",""middlegame"",""sacrifice"",""short""}",Checkmate in two — a forced sequence that delivers checkmate on move two.,true,lichess,nNJcV,25597,95,{}
lc_2dwYC,r2r1q1k/1b4pp/p2p4/np2p1p1/4P1Q1/P1P4R/B4PPP/5RK1 w - - 0 23,"{""h3h7"",""h8h7"",""g4h5""}",bishop,1,beginner,Bishop 1 · Mate In2,mateIn2,White to move.,1148,Casual,"{""attraction"",""kingsideAttack"",""mate"",""mateIn2"",""middlegame"",""sacrifice"",""short""}",Checkmate in two — a forced sequence that delivers checkmate on move two.,true,lichess,2dwYC,24687,95,{}
lc_l2TTL,r2qk2r/pp1nppb1/2p3pp/3n2B1/3PN3/2PB1Q2/PP3PPP/R3K2R w KQkq - 0 12,"{""e4d6"",""e7d6"",""g5d8""}",bishop,1,beginner,Bishop 1 · Advantage,advantage,White to move.,1149,Casual,"{""advantage"",""middlegame"",""short""}",Find the strongest continuation and seize the advantage.,true,lichess,l2TTL,25064,95,"{""Indian_Defense"",""Indian_Defense_Other_variations""}"
lc_FBzfv,r1bqrbk1/1p3ppp/2p5/3pN3/P2P1P2/3BP3/P1Qn2PP/4RRK1 w - - 0 18,"{""d3h7"",""g8h8"",""e5f7""}",bishop,1,beginner,Bishop 1 · Mate In2,mateIn2,White to move.,1149,Casual,"{""deflection"",""kingsideAttack"",""mate"",""mateIn2"",""middlegame"",""short""}",Checkmate in two — a forced sequence that delivers checkmate on move two.,true,lichess,FBzfv,24568,95,"{""Nimzo-Indian_Defense"",""Nimzo-Indian_Defense_Other_variations""}"
lc_oCgN9,6k1/p1p3pp/1p6/7n/1B1K4/8/PPP2rPP/4R3 w - - 0 25,"{""e1e8"",""g8f7"",""e8f8"",""f7e6"",""f8f2""}",bishop,1,beginner,Bishop 1 · Skewer,skewer,White to move.,1151,Casual,"{""crushing"",""endgame"",""long"",""skewer""}","A skewer — the higher-value piece is forced to move, losing the piece behind it.",true,lichess,oCgN9,25584,95,{}
lc_ITrVu,4r2k/ppp1Nppp/3pn3/8/4PPP1/4K1P1/Pr6/3R3R w - - 2 30,"{""h1h7"",""h8h7"",""d1h1"",""b2h2"",""h1h2""}",bishop,1,beginner,Bishop 1 · Mate In3,mateIn3,White to move.,1151,Casual,"{""anastasiaMate"",""attraction"",""endgame"",""kingsideAttack"",""long"",""mate"",""mateIn3"",""sacrifice""}",Checkmate in three — calculate the forcing line all the way to mate.,true,lichess,ITrVu,24278,94,{}
lc_hksaQ,r3q1k1/ppp2ppp/2nb4/3p4/8/2PQ1B2/PP3PPP/RNB3K1 b - - 0 14,"{""e8e1"",""d3f1"",""d6h2"",""g1h2"",""e1f1""}",bishop,1,beginner,Bishop 1 · Fork,fork,Black to move.,1154,Casual,"{""crushing"",""deflection"",""fork"",""long"",""middlegame""}","A fork — one piece attacks two enemy pieces at once, forcing a material win.",true,lichess,hksaQ,27819,94,"{""Russian_Game"",""Russian_Game_Italian_Variation""}"
lc_27J9Q,6k1/p2B3p/4r1p1/4Pp2/3p1Q2/2q3Pb/P1P5/1r2R1K1 w - - 0 27,"{""d7e6"",""g8g7"",""e1b1""}",bishop,1,beginner,Bishop 1 · Hanging Piece,hangingPiece,White to move.,1155,Casual,"{""crushing"",""hangingPiece"",""intermezzo"",""middlegame"",""short""}",A hanging piece — an undefended enemy piece is free to capture.,true,lichess,27J9Q,31691,94,{}
lc_NHbYu,r4bn1/p1p1q2p/bp5k/4nQp1/3PP1PP/8/PPP5/RN2K2R w KQ - 0 18,"{""h4g5"",""h6g7"",""f5h7""}",bishop,1,beginner,Bishop 1 · Mate In2,mateIn2,White to move.,1155,Casual,"{""discoveredCheck"",""doubleCheck"",""mate"",""mateIn2"",""middlegame"",""short""}",Checkmate in two — a forced sequence that delivers checkmate on move two.,true,lichess,NHbYu,24496,96,"{""Kings_Gambit_Accepted"",""Kings_Gambit_Accepted_Kings_Knights_Gambit""}"
lc_19gSb,2r2b1k/1pq2pp1/p3pN1p/7Q/P7/2P1P3/6RP/6K1 w - - 4 28,"{""h5h6"",""g7h6"",""g2g8""}",bishop,1,beginner,Bishop 1 · Mate In2,mateIn2,White to move.,1156,Casual,"{""arabianMate"",""endgame"",""master"",""mate"",""mateIn2"",""sacrifice"",""short""}",Checkmate in two — a forced sequence that delivers checkmate on move two.,true,lichess,19gSb,28452,94,{}
lc_leV8P,r5k1/pp1rbppp/2p1b3/2n1PB2/6PP/P1K1PN2/1PP2N2/4R2R b - - 6 21,"{""c5a4""}",bishop,1,beginner,Bishop 1 · Mate In1,mateIn1,Black to move.,1157,Casual,"{""mate"",""mateIn1"",""middlegame"",""oneMove""}",Checkmate in one — find the single move that ends the game immediately.,true,lichess,leV8P,24634,95,{}
lc_3bylF,2r2rk1/p2q2b1/4p1p1/2B4p/2P2P2/7P/P4QP1/1R3RK1 b - - 0 22,"{""c8c5"",""f2c5"",""g7d4"",""c5d4"",""d7d4""}",bishop,1,beginner,Bishop 1 · Fork,fork,Black to move.,1158,Casual,"{""advantage"",""fork"",""long"",""middlegame"",""sacrifice""}","A fork — one piece attacks two enemy pieces at once, forcing a material win.",true,lichess,3bylF,26649,95,{}
lc_cjdIU,r3R3/1p3qpk/p6p/2pp1Nn1/5QP1/P6P/1PP2P2/3R2K1 b - - 0 26,"{""g5h3"",""g1h2"",""h3f4""}",bishop,1,beginner,Bishop 1 · Fork,fork,Black to move.,1159,Casual,"{""crushing"",""fork"",""middlegame"",""short""}","A fork — one piece attacks two enemy pieces at once, forcing a material win.",true,lichess,cjdIU,31063,94,{}
lc_KMgC1,r3r1k1/1b3pp1/p6p/1p1nP3/3q4/1Np3BP/PPB1Q1P1/2KR3R b - - 1 23,"{""c3b2"",""c1b1"",""d5c3""}",bishop,1,beginner,Bishop 1 · Advanced Pawn,advancedPawn,Black to move.,1160,Casual,"{""advancedPawn"",""crushing"",""middlegame"",""queensideAttack"",""short""}",An advanced pawn — push the passer or use its threats to win material.,true,lichess,KMgC1,25138,94,{}
lc_TRxnG,6k1/2p3pp/pb1p4/1p2p1qn/4P1P1/P2P3P/1PP4K/R2Q2N1 b - - 0 22,"{""g5f4"",""h2h1"",""h5g3"",""h1g2"",""f4f2""}",bishop,1,beginner,Bishop 1 · Mate In3,mateIn3,Black to move.,1161,Casual,"{""endgame"",""epauletteMate"",""long"",""mate"",""mateIn3""}",Checkmate in three — calculate the forcing line all the way to mate.,true,lichess,TRxnG,47929,95,{}
lc_Qrkoz,3r2r1/1bkNqpb1/p2p3p/3Pn1p1/1PPQ4/6BN/2B3PP/R4RK1 b - - 0 23,"{""e5f3"",""g2f3"",""g7d4""}",bishop,1,beginner,Bishop 1 · Discovered Attack,discoveredAttack,Black to move.,1161,Casual,"{""crushing"",""discoveredAttack"",""kingsideAttack"",""middlegame"",""short""}",A discovered attack — moving one piece uncovers a deadly attack from another.,true,lichess,Qrkoz,28188,95,{}
