id,fen,solution_ucis,category,sub_level,difficulty,title,theme,prompt,rating,rating_label,tags,explanation,active,source,lichess_id,nb_plays,popularity,opening_tags
lc_z33rR,3r3r/1RpknQ2/4p3/P2p2p1/8/5PPp/2P1q2P/1R5K w - - 1 34,"{""b7c7"",""d7c7"",""f7e7"",""d8d7"",""e7c5"",""c7d8"",""b1b8""}",king,1,intermediate,King 1 · Deflection,deflection,White to move.,1662,Club,"{""attraction"",""deflection"",""mate"",""mateIn4"",""middlegame"",""veryLong""}",A deflection — lure a defending piece away from the square it was guarding.,true,lichess,z33rR,24945,96,{}
lc_znFAX,rn3rk1/pp2pp2/6p1/q1Pp2Np/3b2bP/2P2Q2/P2B1PP1/R3KB1R w KQ - 2 15,"{""c3d4"",""g4f3"",""d2a5""}",king,1,intermediate,King 1 · Discovered Attack,discoveredAttack,White to move.,1662,Club,"{""advantage"",""discoveredAttack"",""hangingPiece"",""middlegame"",""short""}",A discovered attack — moving one piece uncovers a deadly attack from another.,true,lichess,znFAX,20228,95,"{""Caro-Kann_Defense"",""Caro-Kann_Defense_Panov_Attack""}"
lc_RbmJP,r1b1k1nr/pp1p1ppp/2p5/4q1b1/2B5/3QB1P1/PPP2P1P/RN2K2R w KQkq - 2 12,"{""f2f4"",""g5f4"",""g3f4""}",king,1,intermediate,King 1 · Fork,fork,White to move.,1663,Club,"{""advantage"",""fork"",""opening"",""short""}","A fork — one piece attacks two enemy pieces at once, forcing a material win.",true,lichess,RbmJP,28940,95,"{""Scotch_Game"",""Scotch_Game_Benima_Defense""}"
lc_fqTWf,r2kbb1r/2q3pp/3p1pP1/1p2p2Q/p1PpP3/3P4/PPB3PP/R1B2RK1 w - - 1 19,"{""h5h7"",""h8h7"",""g6h7""}",king,1,intermediate,King 1 · Sacrifice,sacrifice,White to move.,1663,Club,"{""advancedPawn"",""crushing"",""middlegame"",""sacrifice"",""short""}",A sacrifice — give up material to gain a decisive tactical or positional advantage.,true,lichess,fqTWf,28484,95,"{""Sicilian_Defense"",""Sicilian_Defense_Nyezhmetdinov-Rossolimo_Attack""}"
lc_egZUa,1r6/4rkp1/2p2pnp/1b5Q/p3q2P/P5PB/2PR3K/3R4 w - - 2 40,"{""h3f5"",""e4f5"",""h5f5""}",king,1,intermediate,King 1 · Advantage,advantage,White to move.,1663,Club,"{""advantage"",""middlegame"",""short""}",Find the strongest continuation and seize the advantage.,true,lichess,egZUa,28240,95,{}
lc_oGKpp,rnbqk2r/ppp2ppp/5n2/3P4/1b6/2N5/PP2BPPP/R1BQK1NR w KQkq - 3 7,"{""d1a4"",""b8c6"",""d5c6"",""b4c3"",""b2c3""}",king,1,intermediate,King 1 · Fork,fork,White to move.,1663,Club,"{""advantage"",""fork"",""long"",""opening""}","A fork — one piece attacks two enemy pieces at once, forcing a material win.",true,lichess,oGKpp,25117,96,"{""Danish_Gambit"",""Danish_Gambit_Other_variations""}"
lc_IHOw4,r3r1k1/bp3pp1/p3b1np/2p1Pq2/P1Pp1n2/R4N1P/1B1N1PPK/Q3RB2 w - - 1 21,"{""g2g4"",""f5c2"",""e1c1"",""c2d2"",""f3d2""}",king,1,intermediate,King 1 · Trapped Piece,trappedPiece,White to move.,1663,Club,"{""advantage"",""long"",""master"",""masterVsMaster"",""middlegame"",""superGM"",""trappedPiece""}",A trapped piece — the enemy piece has no safe squares and can be won.,true,lichess,IHOw4,25067,95,{}
lc_ykFbL,3r2k1/pp3ppp/8/2p2nP1/3r4/2N4P/PPPB3R/R2K4 b - - 3 21,"{""f5e3"",""d1c1"",""e3f1"",""h2f2"",""f1d2""}",king,1,intermediate,King 1 · Pin,pin,Black to move.,1663,Club,"{""advantage"",""long"",""middlegame"",""pin""}",A pin — the attacked piece can't move without exposing a more valuable piece behind it.,true,lichess,ykFbL,24893,95,{}
lc_GLy1L,r4rk1/1pp1qppp/p1np1n2/8/2B1P1b1/8/PB1N1PPP/R2QR1K1 w - - 2 16,"{""b2f6"",""e7f6"",""d1g4""}",king,1,intermediate,King 1 · Advantage,advantage,White to move.,1663,Club,"{""advantage"",""capturingDefender"",""middlegame"",""short""}",Find the strongest continuation and seize the advantage.,true,lichess,GLy1L,24622,95,"{""Italian_Game"",""Italian_Game_Evans_Gambit""}"
lc_oh5Jx,8/3k1p2/8/3PP3/pp1K4/2P3Pp/P6P/8 b - - 0 45,"{""b4b3"",""a2b3"",""a4a3""}",king,1,intermediate,King 1 · Pawn Endgame,pawnEndgame,Black to move.,1663,Club,"{""crushing"",""endgame"",""master"",""masterVsMaster"",""pawnEndgame"",""short""}",A pawn endgame — king opposition and the square of the pawn decide it.,true,lichess,oh5Jx,24283,95,{}
