id,fen,solution_ucis,category,sub_level,difficulty,title,theme,prompt,rating,rating_label,tags,explanation,active,source,lichess_id,nb_plays,popularity,opening_tags
lc_RfuzQ,2r3k1/5ppp/q3p3/8/1b1P4/4PN1P/Q4PP1/R1N3K1 b - - 0 28,"{""c8c1"",""a1c1"",""a6a2""}",knight,1,beginner,Knight 1 · Deflection,deflection,Black to move.,1027,Casual,"{""advantage"",""deflection"",""middlegame"",""short""}",A deflection — lure a defending piece away from the square it was guarding.,true,lichess,RfuzQ,15766,90,{}
lc_dxkZ9,r3k1r1/pp3p1p/2pp2q1/2b1n3/4PR2/1BPP3P/PP5P/R1B2Q1K b q - 0 18,"{""g6g1"",""f1g1"",""g8g1""}",knight,1,beginner,Knight 1 · Mate In2,mateIn2,Black to move.,1038,Casual,"{""kingsideAttack"",""mate"",""mateIn2"",""middlegame"",""operaMate"",""short""}",Checkmate in two — a forced sequence that delivers checkmate on move two.,true,lichess,dxkZ9,14591,96,"{""Kings_Gambit_Accepted"",""Kings_Gambit_Accepted_Muzio_Gambit""}"
lc_SBM6z,4r1k1/4B1p1/p5N1/1b1pP2P/1bnP2Q1/8/5RK1/8 b - - 4 42,"{""c4e3"",""g2f3"",""e3g4"",""e7b4"",""g4f2""}",knight,1,beginner,Knight 1 · Fork,fork,Black to move.,1040,Casual,"{""advantage"",""fork"",""long"",""master"",""middlegame""}","A fork — one piece attacks two enemy pieces at once, forcing a material win.",true,lichess,SBM6z,16165,97,{}
lc_MhSgK,r4r1k/p6p/2pR1pqp/1p2N3/1P2P1b1/PQ4N1/5KPP/R7 b - - 0 23,"{""f6e5"",""f2g1"",""g6d6""}",knight,1,beginner,Knight 1 · Discovered Attack,discoveredAttack,Black to move.,1041,Casual,"{""crushing"",""discoveredAttack"",""discoveredCheck"",""hangingPiece"",""middlegame"",""short""}",A discovered attack — moving one piece uncovers a deadly attack from another.,true,lichess,MhSgK,11268,96,{}
lc_Lk3a9,1r4k1/1p1q1p2/p2p2P1/2pP3p/2Pb4/4r2P/PPQ1B1P1/R4R1K b - - 0 25,"{""e3h3"",""g2h3"",""d7h3""}",knight,1,beginner,Knight 1 · Mate In2,mateIn2,Black to move.,1044,Casual,"{""kingsideAttack"",""mate"",""mateIn2"",""middlegame"",""sacrifice"",""short""}",Checkmate in two — a forced sequence that delivers checkmate on move two.,true,lichess,Lk3a9,12431,95,{}
lc_ndZzB,r1bk1bnr/1p1p2pp/p2P1p2/5P2/4N2B/8/PqP3PP/R2QKB1R b KQ - 1 16,"{""b2b4"",""e1f2"",""b4e4""}",knight,1,beginner,Knight 1 · Fork,fork,Black to move.,1046,Casual,"{""advantage"",""fork"",""opening"",""short""}","A fork — one piece attacks two enemy pieces at once, forcing a material win.",true,lichess,ndZzB,13441,96,"{""Four_Knights_Game"",""Four_Knights_Game_Halloween_Gambit""}"
lc_W3bdm,8/5p2/5k1P/8/K4P2/1p6/4n3/1B6 b - - 0 44,"{""e2c3"",""a4b3"",""c3b1"",""b3b2"",""b1d2"",""h6h7"",""f6g7"",""h7h8q"",""g7h8""}",knight,1,beginner,Knight 1 · Fork,fork,Black to move.,1047,Casual,"{""crushing"",""endgame"",""fork"",""master"",""quietMove"",""veryLong""}","A fork — one piece attacks two enemy pieces at once, forcing a material win.",true,lichess,W3bdm,15934,96,{}
lc_l2f5u,6k1/1p4bp/3p4/1N1Pp3/1R2Pr2/5P2/4KP2/2Q3Rq b - - 0 33,"{""h1f3"",""e2e1"",""f3f2"",""e1d1"",""f2g1""}",knight,1,beginner,Knight 1 · Fork,fork,Black to move.,1049,Casual,"{""attackingF2F7"",""crushing"",""fork"",""long"",""middlegame""}","A fork — one piece attacks two enemy pieces at once, forcing a material win.",true,lichess,l2f5u,17714,97,{}
lc_leSjk,r1bqk2r/pp3ppp/2np1n2/1B6/8/4P3/PPP2PPP/R1BQK1NR b KQkq - 2 8,"{""d8a5"",""c1d2"",""a5b5""}",knight,1,beginner,Knight 1 · Fork,fork,Black to move.,1049,Casual,"{""advantage"",""fork"",""opening"",""short""}","A fork — one piece attacks two enemy pieces at once, forcing a material win.",true,lichess,leSjk,14760,95,"{""Englund_Gambit"",""Englund_Gambit_Other_variations""}"
lc_iZZSL,r2q1rk1/2p1bppp/p2p1n2/1p1N4/4PPb1/1P4N1/1PPB2PP/R2Q1RK1 w - - 1 16,"{""d5f6"",""e7f6"",""d1g4""}",knight,1,beginner,Knight 1 · Crushing,crushing,White to move.,1052,Casual,"{""crushing"",""kingsideAttack"",""middlegame"",""short""}",Find the strongest continuation and seize the advantage.,true,lichess,iZZSL,14075,95,"{""Ruy_Lopez"",""Ruy_Lopez_Steinitz_Defense""}"
