id,fen,solution_ucis,category,sub_level,difficulty,title,theme,prompt,rating,rating_label,tags,explanation,active,source,lichess_id,nb_plays,popularity,opening_tags
lc_TXDm0,1k5r/1p1r1p2/p2N4/2R1pNb1/6p1/3P2P1/PP4B1/6K1 b - - 1 24,"{""d7d6"",""f5d6"",""g5e3"",""g1f1"",""e3c5""}",queen,1,intermediate,Queen 1 · Fork,fork,Black to move.,1437,Club,"{""advantage"",""exposedKing"",""fork"",""long"",""master"",""middlegame"",""sacrifice"",""superGM""}","A fork — one piece attacks two enemy pieces at once, forcing a material win.",true,lichess,TXDm0,37237,95,{}
lc_gbuzs,4R3/pkp2r1p/1p6/8/8/2Q5/3r1qPP/R6K w - - 4 31,"{""a1a7"",""b7a7"",""c3a3"",""a7b7"",""a3a8""}",queen,1,intermediate,Queen 1 · Mate In3,mateIn3,White to move.,1437,Club,"{""attraction"",""endgame"",""long"",""mate"",""mateIn3"",""sacrifice""}",Checkmate in three — calculate the forcing line all the way to mate.,true,lichess,gbuzs,35330,95,{}
lc_ZbDJk,r5rk/5p1p/5PpQ/p7/1p6/5R2/1q4PP/R6K w - - 0 30,"{""h6h7"",""h8h7"",""f3h3""}",queen,1,intermediate,Queen 1 · Mate In2,mateIn2,White to move.,1437,Club,"{""attraction"",""endgame"",""mate"",""mateIn2"",""sacrifice"",""short""}",Checkmate in two — a forced sequence that delivers checkmate on move two.,true,lichess,ZbDJk,34569,95,{}
lc_DuYGR,2k3r1/2b2p1p/p1pqpnr1/3p4/3P1B2/2N2QPP/PPP2P2/R4RK1 b - - 2 19,"{""d6f4"",""f3f4"",""c7f4""}",queen,1,intermediate,Queen 1 · Pin,pin,Black to move.,1437,Club,"{""advantage"",""middlegame"",""pin"",""short""}",A pin — the attacked piece can't move without exposing a more valuable piece behind it.,true,lichess,DuYGR,34394,96,"{""Caro-Kann_Defense"",""Caro-Kann_Defense_Other_variations""}"
lc_YWNuc,r2qr1k1/ppp3b1/3p2pp/5bN1/4N3/2PQ2P1/PP3PP1/1K2R2R w - - 0 19,"{""d3d5"",""e8e6"",""g5e6""}",queen,1,intermediate,Queen 1 · Crushing,crushing,White to move.,1437,Club,"{""crushing"",""kingsideAttack"",""middlegame"",""short""}",Find the strongest continuation and seize the advantage.,true,lichess,YWNuc,34156,95,"{""Indian_Defense"",""Indian_Defense_Other_variations""}"
lc_n6f3t,1q4rk/1p3p1p/p3pPpQ/P7/5PP1/5R2/1PP1p2P/6K1 w - - 0 30,"{""h6h7"",""h8h7"",""f3h3""}",queen,1,intermediate,Queen 1 · Mate In2,mateIn2,White to move.,1437,Club,"{""attraction"",""endgame"",""kingsideAttack"",""mate"",""mateIn2"",""sacrifice"",""short""}",Checkmate in two — a forced sequence that delivers checkmate on move two.,true,lichess,n6f3t,34077,96,{}
lc_hEF0u,4rrk1/pp3p2/5PNp/8/P2p4/6Q1/6P1/3bb1K1 w - - 1 30,"{""g6e7"",""g8h7"",""g3g7""}",queen,1,intermediate,Queen 1 · Mate In2,mateIn2,White to move.,1437,Club,"{""discoveredCheck"",""doubleCheck"",""endgame"",""mate"",""mateIn2"",""short""}",Checkmate in two — a forced sequence that delivers checkmate on move two.,true,lichess,hEF0u,33818,96,{}
lc_TpzmU,r2r2k1/6p1/p6p/1ppq1p1N/3bR3/5QP1/5PKP/1R6 w - f6 0 34,"{""e4e8"",""g8f7"",""f3d5"",""d8d5"",""e8a8""}",queen,1,intermediate,Queen 1 · Discovered Attack,discoveredAttack,White to move.,1437,Club,"{""advantage"",""discoveredAttack"",""long"",""middlegame""}",A discovered attack — moving one piece uncovers a deadly attack from another.,true,lichess,TpzmU,33810,95,{}
lc_lXGAC,8/p5pp/1k6/1p2n3/4PR2/P6P/3r1PPK/4R3 b - - 0 30,"{""e5d3"",""f4h4"",""d3e1""}",queen,1,intermediate,Queen 1 · Fork,fork,Black to move.,1437,Club,"{""advantage"",""endgame"",""fork"",""short""}","A fork — one piece attacks two enemy pieces at once, forcing a material win.",true,lichess,lXGAC,33648,95,{}
lc_S3RlP,4N1k1/5R2/1nP3P1/3Pp3/1p2P2K/1r6/8/q7 w - - 0 58,"{""e8f6"",""g8h8"",""g6g7""}",queen,1,intermediate,Queen 1 · Mate In2,mateIn2,White to move.,1437,Club,"{""advancedPawn"",""endgame"",""mate"",""mateIn2"",""short""}",Checkmate in two — a forced sequence that delivers checkmate on move two.,true,lichess,S3RlP,33336,95,{}
lc_Nt4dk,4k3/R2n2pp/2Q1pp2/8/P7/7P/1q4P1/6K1 b - - 0 39,"{""b2d4"",""g1h1"",""d4a7""}",queen,1,intermediate,Queen 1 · Fork,fork,Black to move.,1437,Club,"{""advantage"",""endgame"",""fork"",""short""}","A fork — one piece attacks two enemy pieces at once, forcing a material win.",true,lichess,Nt4dk,33316,95,{}
lc_712hk,6k1/1QR2p2/4b1pp/4q3/4p3/4N1PP/3r1P1K/8 w - - 1 40,"{""b7b8"",""g8g7"",""c7f7"",""g7f7"",""b8e5""}",queen,1,intermediate,Queen 1 · Discovered Attack,discoveredAttack,White to move.,1437,Club,"{""advantage"",""discoveredAttack"",""endgame"",""long""}",A discovered attack — moving one piece uncovers a deadly attack from another.,true,lichess,712hk,33305,96,{}
lc_7nd5C,5r1k/pQ4p1/7p/7N/8/8/P2q1rPP/1R2R2K b - - 3 27,"{""d2e1"",""b1e1"",""f2f1"",""e1f1"",""f8f1""}",queen,1,intermediate,Queen 1 · Mate In3,mateIn3,Black to move.,1437,Club,"{""backRankMate"",""long"",""mate"",""mateIn3"",""middlegame"",""sacrifice""}",Checkmate in three — calculate the forcing line all the way to mate.,true,lichess,7nd5C,33232,95,{}
lc_ewmVO,1n1qkb1r/6pp/p1p2p2/3rp3/B7/3P1Q1P/PPP2PP1/R1B1K2R b KQk - 0 14,"{""d8a5"",""c2c3"",""a5a4""}",queen,1,intermediate,Queen 1 · Fork,fork,Black to move.,1437,Club,"{""advantage"",""fork"",""middlegame"",""short""}","A fork — one piece attacks two enemy pieces at once, forcing a material win.",true,lichess,ewmVO,33106,94,"{""Philidor_Defense"",""Philidor_Defense_Other_variations""}"
