id,fen,solution_ucis,category,sub_level,difficulty,title,theme,prompt,rating,rating_label,tags,explanation,active,source,lichess_id,nb_plays,popularity,opening_tags
lc_nOBS6,5rk1/pp3Rp1/2p1q2p/3p4/8/5P2/PPP3P1/4R1K1 w - - 0 31,"{""f7f8"",""g8f8"",""e1e6""}",rook,1,intermediate,Rook 1 · Endgame,endgame,White to move.,1269,Casual,"{""crushing"",""endgame"",""intermezzo"",""queenRookEndgame"",""short""}",An endgame technique — precise play with few pieces where every tempo counts.,true,lichess,nOBS6,35878,96,{}
lc_gnBy3,8/5pk1/3p4/p1b5/Pp5P/8/1qP3P1/3Q1K1R b - - 1 38,"{""b2f6"",""d1f3"",""f6a1"",""f1e2"",""a1h1""}",rook,1,intermediate,Rook 1 · Skewer,skewer,Black to move.,1270,Casual,"{""advantage"",""endgame"",""long"",""skewer""}","A skewer — the higher-value piece is forced to move, losing the piece behind it.",true,lichess,gnBy3,34851,95,{}
lc_FaDM0,2bq3r/3n1pkn/p2p2p1/4p1QP/3PP1P1/P2P4/4NN2/1R4K1 w - - 2 27,"{""h5h6"",""g7g8"",""g5d8""}",rook,1,intermediate,Rook 1 · Interference,interference,White to move.,1271,Casual,"{""crushing"",""interference"",""middlegame"",""short""}",Interference — block the line between two enemy pieces to break their coordination.,true,lichess,FaDM0,33909,95,{}
lc_prfqg,7k/4qpp1/2p1bN1p/p3P2Q/3r4/6R1/P4PPP/6K1 w - - 3 32,"{""h5h6"",""g7h6"",""g3g8""}",rook,1,intermediate,Rook 1 · Mate In2,mateIn2,White to move.,1271,Casual,"{""arabianMate"",""endgame"",""mate"",""mateIn2"",""sacrifice"",""short""}",Checkmate in two — a forced sequence that delivers checkmate on move two.,true,lichess,prfqg,33202,95,{}
lc_HnyBQ,r1b1k2r/pp3ppp/4pn2/8/1bBq4/8/PP1N1PPP/R1BQR1K1 w kq - 2 12,"{""d1a4"",""c8d7"",""a4b4""}",rook,1,intermediate,Rook 1 · Fork,fork,White to move.,1272,Casual,"{""advantage"",""fork"",""opening"",""short""}","A fork — one piece attacks two enemy pieces at once, forcing a material win.",true,lichess,HnyBQ,36233,95,"{""Queens_Pawn_Game"",""Queens_Pawn_Game_Zukertort_Variation""}"
lc_FxxfL,5r2/pp3rbk/3pb1pp/1Nn1p3/P3q3/R4NP1/2P1QPBP/3R3K w - - 0 24,"{""f3g5"",""h6g5"",""g2e4""}",rook,1,intermediate,Rook 1 · Discovered Attack,discoveredAttack,White to move.,1272,Casual,"{""advantage"",""discoveredAttack"",""master"",""middlegame"",""short""}",A discovered attack — moving one piece uncovers a deadly attack from another.,true,lichess,FxxfL,35372,96,{}
lc_F4Ljx,3r4/pp5R/2kP4/5p2/1P2pP2/P3P1p1/2r1nP2/3R3K w - - 4 36,"{""h7c7"",""c6b6"",""c7c2""}",rook,1,intermediate,Rook 1 · Skewer,skewer,White to move.,1273,Casual,"{""advantage"",""endgame"",""short"",""skewer""}","A skewer — the higher-value piece is forced to move, losing the piece behind it.",true,lichess,F4Ljx,35473,96,{}
lc_ri1lN,1r1q2rk/3n1p1p/3p1PpQ/p2P4/1p2PR2/7P/4N1P1/4R1K1 w - - 4 31,"{""h6h7"",""h8h7"",""f4h4""}",rook,1,intermediate,Rook 1 · Mate In2,mateIn2,White to move.,1273,Casual,"{""attraction"",""kingsideAttack"",""mate"",""mateIn2"",""middlegame"",""sacrifice"",""short""}",Checkmate in two — a forced sequence that delivers checkmate on move two.,true,lichess,ri1lN,34245,96,{}
lc_t6Ubt,8/4r2k/p5p1/1bR4p/3pB2b/1K1Pn2P/PP3R2/8 w - - 4 32,"{""c5h5"",""h7g7"",""h5h4""}",rook,1,intermediate,Rook 1 · Pin,pin,White to move.,1273,Casual,"{""advantage"",""middlegame"",""pin"",""short""}",A pin — the attacked piece can't move without exposing a more valuable piece behind it.,true,lichess,t6Ubt,34137,95,{}
lc_oSHbq,rn1q3r/pp2kp2/1bp1p3/3pPp2/3P1P2/2P2Rp1/PP2B1P1/RNBQ2K1 b - - 1 15,"{""h8h1"",""g1h1"",""d8h8"",""h1g1"",""h8h2"",""g1f1"",""h2h1""}",rook,1,intermediate,Rook 1 · Attraction,attraction,Black to move.,1274,Casual,"{""attraction"",""kingsideAttack"",""mate"",""mateIn4"",""middlegame"",""sacrifice"",""veryLong""}",An attraction — force an enemy piece onto a square where it can be exploited.,true,lichess,oSHbq,37833,96,"{""Caro-Kann_Defense"",""Caro-Kann_Defense_Other_variations""}"
